,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
1,0.553424406,0.069805109,3.517212147,5.047789732,setosa
2,2.075854879,2.846940584,2.563473412,0.683923704,setosa
3,8.951363759,6.481527627,6.576550424,1.753074523,setosa
4,2.111702615,7.126142818,4.799953813,8.980409882,setosa
5,0.104870459,7.521079915,8.924631372,4.956320653,setosa
6,7.924877346,6.965254917,6.032476487,7.437039899,setosa
7,1.742603488,0.500357845,5.883012917,9.011492915,setosa
8,2.34234618,7.962178097,8.71036746,3.609297971,setosa
9,6.171936638,2.232384477,1.42271174,3.256164932,setosa
10,7.337457435,8.187177098,7.813194632,5.731516224,setosa
11,3.376060168,2.351456163,2.503444147,7.647834656,setosa
12,9.960818862,0.005076482,7.642343821,0.573416216,setosa
13,4.022847074,1.208640862,9.26274044,7.649962682,setosa
14,0.152488455,2.417694431,6.009445341,9.412836939,setosa
15,6.900768053,4.841585722,7.178961564,6.973067644,setosa
16,9.47791152,9.327198587,1.268055376,4.07641184,setosa
17,4.20786307,7.84666014,7.083907223,1.174427216,setosa
18,5.61942581,5.177768538,7.7096792,8.885050442,setosa
19,2.036474614,5.802170528,3.608123711,1.356791338,setosa
20,2.419868327,6.573981596,7.534085681,5.057024793,setosa
21,4.916690841,6.228978641,6.167560793,5.94329213,setosa
22,8.478595539,6.48288162,3.25745316,7.70597207,setosa
23,9.052693344,1.053912306,7.757976385,6.441587059,setosa
24,9.156716087,5.059405453,3.452945594,1.437651824,setosa
25,8.33457845,3.461051361,0.711889542,8.173436515,setosa
26,0.319667015,2.852536669,1.615420223,6.844964138,setosa
27,5.635974023,9.018550124,3.149115407,0.585865717,setosa
28,6.459816391,3.511998372,6.486398909,4.909792335,setosa
29,0.91329116,8.864938815,8.181738404,3.81398852,setosa
30,2.481693461,1.526795506,8.880659985,9.560603519,setosa
31,8.198766164,3.210155739,2.632535323,3.014282061,setosa
32,1.824606776,3.592021312,1.723967125,9.659267305,setosa
33,2.468223383,2.270852534,4.59131386,5.35277819,setosa
34,6.47454644,1.092557715,0.265357732,2.719921397,setosa
35,0.469828896,3.542978751,2.297621468,6.159140382,setosa
36,1.739521465,8.066994387,3.641548997,5.495243456,setosa
37,0.765060439,6.120111613,9.731929357,9.256892093,setosa
38,5.253831996,9.88992247,8.457274465,2.576500021,setosa
39,7.259543121,5.100862023,6.664277732,2.774426891,setosa
40,7.162508322,3.585693919,4.519675465,0.173417383,setosa
41,5.905617989,5.648421117,9.410278389,0.506640108,setosa
42,1.301212492,4.279974454,8.189872223,3.289131283,setosa
43,8.029092056,4.624529102,0.370665029,6.765893158,setosa
44,9.071784735,7.926614831,1.939630892,4.219006096,setosa
45,0.216122215,2.409212788,0.798443661,7.427173566,setosa
46,1.310567348,0.871871978,1.763075314,1.309458613,setosa
47,2.19119609,8.517587467,6.034280452,5.777218623,setosa
48,6.504861048,4.332605794,7.472722887,6.44678604,setosa
49,9.029992844,2.890171945,3.537344964,9.455776155,setosa
50,4.619282153,7.391672007,9.386214648,9.331921443,setosa
51,7.144251341,2.293190229,8.738242415,4.90873345,versicolor
52,4.807407222,1.844442353,2.451717802,9.095177899,versicolor
53,8.969846322,1.684149604,5.374689748,3.81881468,versicolor
54,9.950647941,5.806397901,4.344598879,1.140458258,versicolor
55,9.417634982,6.236319775,5.241579364,6.1967869,versicolor
56,2.201458657,8.692195271,2.676561505,6.995298542,versicolor
57,6.474701917,8.048563906,6.517138691,9.342182803,versicolor
58,9.792777946,1.802425745,2.316909828,2.235460068,versicolor
59,3.586132719,2.347989816,5.192885024,0.358309982,versicolor
60,2.425194,7.049578365,6.292006418,6.00290485,versicolor
61,5.298123387,4.961491189,9.609070385,5.647506269,versicolor
62,8.370558544,2.883326413,9.78514462,9.953221371,versicolor
63,7.155995695,5.471634511,1.5413769,2.111258359,versicolor
64,8.106088086,8.656838373,3.735234124,1.39883221,versicolor
65,0.648508872,4.529735297,0.100613996,4.316212636,versicolor
66,0.956547317,7.903828005,3.473579313,0.953331299,versicolor
67,7.413868325,4.829385614,6.58949423,1.973711432,versicolor
68,1.454608044,1.407870148,8.932511125,1.081123822,versicolor
69,1.552083979,7.235566355,5.542256028,1.892614784,versicolor
70,2.644088215,2.747150589,0.028991192,4.833730661,versicolor
71,0.066638266,7.816486017,6.410672984,8.408365816,versicolor
72,5.060795016,8.985848044,7.870133264,2.779057554,versicolor
73,7.890476472,5.992955857,8.789204317,9.038173234,versicolor
74,9.403127379,8.635260812,5.277032122,4.736475667,versicolor
75,2.042069385,1.115288053,7.005454728,6.777199623,versicolor
76,7.951588887,0.30451165,8.758463169,8.937791766,versicolor
77,7.019987989,8.438080292,3.402780899,3.728761784,versicolor
78,5.332013318,6.920303543,5.229089667,2.247815434,versicolor
79,4.23447246,5.100986008,6.14987527,1.378725503,versicolor
80,6.037863508,0.765757634,0.47326047,6.496879971,versicolor
81,2.98702762,4.061408875,4.298858212,6.081962578,versicolor
82,0.966345813,6.97969061,6.493922507,0.487058706,versicolor
83,9.045352099,1.041401626,0.548913242,7.633536309,versicolor
84,3.645315509,7.028843013,2.032080923,9.43978953,versicolor
85,3.721684247,9.020610537,0.655017014,7.711358321,versicolor
86,6.655581637,8.77172183,9.794111443,9.282821933,versicolor
87,0.664639164,1.035546746,3.056776311,8.199452323,versicolor
88,1.095197259,4.705977612,0.231416434,5.016094049,versicolor
89,7.826887322,2.506829966,0.739881496,4.04860216,versicolor
90,0.213407046,8.908199578,4.789401127,9.841181479,versicolor
91,0.016245095,4.161726295,1.235292895,6.575281002,versicolor
92,6.158291442,2.803059086,1.480175972,6.569311005,versicolor
93,1.224313856,9.86136328,7.470385612,3.062901045,versicolor
94,5.748508142,2.97554698,4.64726442,9.190721415,versicolor
95,8.660166832,4.557577497,2.348727637,8.382695671,versicolor
96,8.01609552,6.025942571,7.187601449,4.577848814,versicolor
97,7.772519694,6.16401697,3.45633402,8.185228849,versicolor
98,7.791679415,0.932813796,9.70134018,8.294564063,versicolor
99,0.367519662,5.021766588,5.559560062,0.65691959,versicolor
100,3.514254708,7.665272017,9.269386478,1.113134086,versicolor
101,7.88545964,8.348908574,6.426122653,7.968559146,virginica
102,0.496189967,4.70377456,0.30747547,6.836816853,virginica
103,1.336460362,1.93966956,2.680476929,3.064693172,virginica
104,4.860405669,2.807353744,8.663693768,7.550260639,virginica
105,6.089935942,5.039042775,3.700272171,8.609941605,virginica
106,1.90795479,9.189853395,4.413517532,0.46795861,virginica
107,4.940245299,7.44223013,1.104719364,7.771134959,virginica
108,5.175896303,4.538371878,6.905525451,9.76989206,virginica
109,3.128105048,4.030602608,2.836495502,8.556342953,virginica
110,1.985630339,9.236291381,6.134942856,6.960975262,virginica
111,3.569787022,1.22473135,9.007606651,1.351906111,virginica
112,5.803018121,1.034461756,2.776191905,4.534816608,virginica
113,3.833028339,0.727913199,6.073283555,0.065744741,virginica
114,9.809320182,4.807283194,5.632090322,8.455978446,virginica
115,3.282584253,9.987804386,6.833390549,4.511174442,virginica
116,6.016283233,9.604201497,4.660396188,1.292052913,virginica
117,0.716610469,4.988388715,6.571592077,6.033123858,virginica
118,7.072306063,3.549564438,5.838536612,4.526227372,virginica
119,6.610680988,7.829014423,0.763423245,0.906903525,virginica
120,9.358474569,5.804414447,2.540696958,1.925282842,virginica
121,2.972310748,5.290582965,7.412329305,3.491395616,virginica
122,1.111010495,8.755507182,4.312212279,1.867606297,virginica
123,9.261769667,3.667431762,8.483150335,3.51642042,virginica
124,9.015699353,0.473408313,1.336339653,4.169244868,virginica
125,1.085349352,1.598697379,6.301808464,4.555457698,virginica
126,5.624614475,6.699654983,8.464248418,3.662003864,virginica
127,6.485996189,4.519903041,2.358201165,8.346557809,virginica
128,2.689347822,8.531404715,0.392381305,5.777185776,virginica
129,1.112578337,6.809127383,3.199854335,8.17706967,virginica
130,5.501781479,9.789662621,2.964025017,7.149677486,virginica
131,3.331779364,8.172226005,1.584311627,7.992965712,virginica
132,5.322038313,3.516065818,0.849728892,6.842652899,virginica
133,8.342572554,8.899246063,3.056037888,1.079816928,virginica
134,4.020914839,2.871866073,8.956309222,7.321193794,virginica
135,6.297405059,3.642886934,0.934413015,9.628016384,virginica
136,5.099184949,8.300210709,4.929309384,8.57669821,virginica
137,1.692555096,8.868883648,5.720254874,5.536757054,virginica
138,4.964281517,2.243488818,4.149864522,6.330897462,virginica
139,1.213332224,7.656959801,1.803198293,2.048873691,virginica
140,0.513884646,8.929812768,1.445708763,9.588669871,virginica
141,9.267136277,7.847641957,9.994556682,6.172846084,virginica
142,1.231116477,1.228867794,6.855933869,6.737885023,virginica
